Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 08:10:00;1,07846;1,07876;1,07846;1,07854;1,077570952;1,078074286;1,077607674;0;0;1;0;88,83248731;94,49475609;1;0;1,078530145;1,076620855;1;0;63,41630953;0;0;0;0;0;0,009
2023-01-18 08:15:00;1,07853;1,0787;1,07832;1,07852;1,077620476;1,078195714;1,077596977;0;0;1;0;87,81725888;91,24192319;1;0;1,078667945;1,076581055;0;0;62,95633842;0;0;0;0;1;-0,002
2023-01-18 08:20:00;1,07851;1,07888;1,07841;1,07882;1,077681429;1,07837;1,077605116;0;0;1;0;97,1291866;91,25964427;1;0;1,078852108;1,076506892;0;0;66,84143048;0;0;0;0;0;0,03
2023-01-18 08:25:00;1,07882;1,07884;1,07841;1,0785;1,077718571;1,078454286;1,077636744;0;0;1;0;81,81818182;88,92154243;1;0;1,078951111;1,076494889;0;0;59,65449145;0;0;0;0;0;-0,032
2023-01-18 08:30:00;1,07849;1,07872;1,07829;1,07834;1,077752381;1,07851;1,07762814;0;0;1;0;74,16267943;84,37001595;0;0;1,07901772;1,07652328;0;0;56,38971952;0;0;0;0;1;-0,016
2023-01-18 08:35:00;1,07832;1,07865;1,07832;1,07857;1,077808571;1,078534286;1,077641628;0;0;1;0;84,18367347;80,0548449;1;0;1,079112656;1,076543344;0;0;59,79593561;0;0;0;0;1;0,023
2023-01-18 08:40:00;1,07857;1,07865;1,07815;1,07861;1,077865238;1,078557143;1,077651628;0;0;1;0;84,65909091;81,0018146;1;0;1,079197766;1,076590234;0;0;60,37558189;0;0;0;0;0;0,004
2023-01-18 08:45:00;1,0786;1,0788;1,07816;1,07831;1,07791381;1,078524286;1,077639767;0;0;1;0;60,95890411;76,60055616;0;0;1,079219099;1,076684901;0;0;54,07818394;0;0;0;0;1;-0,03
2023-01-18 08:50:00;1,07832;1,0787;1,07825;1,07863;1,077984286;1,07854;1,077640233;0;0;1;0;82,26950355;75,96249952;1;0;1,079257684;1,076804316;0;0;58,99162526;0;0;0;0;1;0,032
2023-01-18 08:55:00;1,07862;1,07908;1,07848;1,07895;1,078074762;1,078558571;1,077666047;0;0;1;0;91,66666667;78,29835811;1;0;1,079306945;1,076958055;0;0;63,2286498;0;0;0;0;1;0,032
